TipoArticulo,Anhada,Partida,Raza,Alimentacion,NumeroSerieLc,AcidoOleico,AcidoPalmitico,AcidoEstearico,AcidoLinoleico,PesoVarios,Pesovientres,PesoCerdos,PesoNetoCanal,Nacimiento,CodigoMatadero,NroAnimales,PesoEntrada,TipoPesada,PesoSalida,DescripcionArticulo,FechaEntrada,FechaSalida
Jamón,2021,40521,50% IBERICO,CEBO DE CAMPO,147071472876,0,0,0,0,0,0,0,0,,1,153,17.5,Individual,7.42,JAMON CEBO CAMPO 50% 7-8 KGS DON IBERICOO 50% 7-8 ,2021-10-05 00:00:00.000,2021-11-10 00:00:00.000
Jamón,2021,40521,50% IBERICO,CEBO DE CAMPO,147071546522,0,0,0,0,0,0,0,0,,1,153,17.74,Individual,7.66,JAMON CEBO CAMPO 50% 7-8 KGS DON IBERICOO 50% 7-8 ,2021-10-05 00:00:00.000,2021-11-10 00:00:00.000
Jamón,2021,40521,50% IBERICO,CEBO DE CAMPO,147071473682,0,0,0,0,0,0,0,0,,1,153,17.6,Individual,7.54,JAMON CEBO CAMPO 50% 7-8 KGS DON IBERICOO 50% 7-8 ,2021-10-05 00:00:00.000,2021-11-04 00:00:00.000
Jamón,2021,40521,50% IBERICO,CEBO DE CAMPO,147071547321,0,0,0,0,0,0,0,0,,1,153,17.58,Individual,7.5,JAMON CEBO CAMPO 50% 7-8 KGS DON IBERICOO 50% 7-8 ,2021-10-05 00:00:00.000,2021-11-10 00:00:00.000
Jamón,2021,40521,50% IBERICO,CEBO DE CAMPO,147069450763,0,0,0,0,0,0,0,0,,1,153,17.38,Individual,7.32,JAMON CEBO CAMPO 50% 7-8 KGS DON IBERICOO 50% 7-8 ,2021-10-05 00:00:00.000,2021-11-10 00:00:00.000
Jamón,2021,40521,50% IBERICO,CEBO DE CAMPO,147071438520,0,0,0,0,0,0,0,0,,1,153,17.9,Individual,7.84,JAMON CEBO CAMPO 50% 7-8 KGS DON IBERICOO 50% 7-8 ,2021-10-05 00:00:00.000,2021-11-10 00:00:00.000
Jamón,2021,40521,50% IBERICO,CEBO DE CAMPO,147071473361,0,0,0,0,0,0,0,0,,1,153,17.7,Individual,7.62,JAMON CEBO CAMPO 50% 7-8 KGS DON IBERICOO 50% 7-8 ,2021-10-05 00:00:00.000,2021-11-10 00:00:00.000
Jamón,2021,40521,50% IBERICO,CEBO DE CAMPO,147071473958,0,0,0,0,0,0,0,0,,1,153,17.92,Individual,7.86,JAMON CEBO CAMPO 50% 7-8 KGS DON IBERICOO 50% 7-8 ,2021-10-05 00:00:00.000,2021-11-04 00:00:00.000
Jamón,2021,40521,50% IBERICO,CEBO DE CAMPO,147071438568,0,0,0,0,0,0,0,0,,1,153,17.92,Individual,7.86,JAMON CEBO CAMPO 50% 7-8 KGS DON IBERICOO 50% 7-8 ,2021-10-05 00:00:00.000,2021-11-04 00:00:00.000
Jamón,2021,40521,50% IBERICO,CEBO DE CAMPO,147071472968,0,0,0,0,0,0,0,0,,1,153,18.18,Individual,8.1,JAMON CEBO CAMPO 50% 7-8 KGS DON IBERICOO 50% 7-8 ,2021-10-05 00:00:00.000,2021-11-04 00:00:00.000
