Articulo,Anhada,Partida,Raza,Alimentacion,N_Serie,Ac_Oleico,Ac_Palmitico,Ac_Estearico,Ac_Linoleico,PesoVarios,Pesovientres,PesoCerdos,PesoNetoCanal,Nacimiento,Matadero,NroAnimales,PesoEntrada,TipoPesada,PesoSalida,DescripcionArticulo,FechaEntrada,FechaSalida
Paleta,2017,1303,100%_IBERICO,BELLOTA,141120540104,0,0,0,0,2596.388,4630.6,5948.47,4537.988,05/11/2012,1,34,66,Individual,42.9,PALETA BELLOTA 100% IBRICA,26/08/2014,07/02/2018
Jamon,2021,210137,100%_IBERICO,BELLOTA,137007397571,0,0,0,0,10990.714,18574.3,22780,18202.814,15/11/2013,1,129,18.995,Individual,12.34675,JAMON DE BELLOTA 100%_IBERICO,22/07/2014,13/07/2018
Jamon,2021,210137,100%_IBERICO,BELLOTA,137007399704,0,0,0,0,10990.714,18574.3,22780,18202.814,15/11/2013,1,129,18.975,Individual,12.33375,JAMON DE BELLOTA 100%_IBERICO,02/08/2015,02/09/2019
Jamon,2021,210180,100%_IBERICO,BELLOTA,137007398028,57.2,20.85,8.91,7.03,10106.074,17289.8,21180,16944.004,15/11/2013,1,0,18.955,Individual,12.32075,JAMON DE BELLOTA 100%_IBERICO,25/07/2015,02/09/2019
Jamon,2021,210180,100%_IBERICO,BELLOTA,137007399667,57.2,20.85,8.91,7.03,10106.074,17289.8,21180,16944.004,15/11/2013,1,0,18.95,Individual,12.3175,JAMON DE BELLOTA 100%_IBERICO,08/01/2015,09/01/2019
Jamon,2021,210180,100%_IBERICO,BELLOTA,137007399407,57.2,20.85,8.91,7.03,10106.074,17289.8,21180,16944.004,15/11/2013,1,0,18.94,Individual,12.311,JAMON DE BELLOTA 100%_IBERICO,12/04/2015,14/05/2019
Jamon,2021,210137,100%_IBERICO,BELLOTA,137007399049,0,0,0,0,10990.714,18574.3,22780,18202.814,15/11/2013,1,129,18.91,Individual,12.2915,JAMON DE BELLOTA 100%_IBERICO,06/10/2014,08/11/2018
Jamon,2021,210180,100%_IBERICO,BELLOTA,137007399049,57.2,20.85,8.91,7.03,10106.074,17289.8,21180,16944.004,15/11/2013,1,0,18.905,Individual,12.28825,JAMON DE BELLOTA 100%_IBERICO,18/10/2014,08/11/2018
Jamon,2021,210137,100%_IBERICO,BELLOTA,137007399049,0,0,0,0,10990.714,18574.3,22780,18202.814,15/11/2013,1,129,18.89,Individual,12.2785,JAMON DE BELLOTA 100%_IBERICO,11/11/2014,08/11/2018
Jamon,2021,210180,100%_IBERICO,BELLOTA,137007399049,57.2,20.85,8.91,7.03,10106.074,17289.8,21180,16944.004,15/11/2013,1,0,18.87,Individual,12.2655,JAMON DE BELLOTA 100%_IBERICO,13/10/2014,08/11/2018
Jamon,2021,210137,100%_IBERICO,BELLOTA,137007399971,0,0,0,0,10990.714,18574.3,22780,18202.814,15/11/2013,1,129,18.855,Individual,12.25575,JAMON DE BELLOTA 100%_IBERICO,28/10/2014,02/11/2018
